Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.09971178,999.0,0.0,0.0,1.0
20000,1.4189383,0.09479439,999.0,0.0,0.0,1.0
30000,1.4188726,0.13334157,999.0,0.0,0.0,1.0
40000,1.4188441,0.15939173,999.0,0.0,0.0,1.0
50000,1.4183116,0.1753557,999.0,-2.111111111111111,-2.111111111111111,1.0
60000,1.4181521,0.16923103,999.0,-0.125,-0.125,1.0
70000,1.4182628,0.1574097,999.0,-0.8125,-0.8125,1.0
80000,1.4182719,0.13829324,999.0,-0.7,-0.7,1.0
90000,1.4175334,0.10826918,999.0,0.0,0.0,1.0
100000,1.416963,0.101017155,999.0,0.0,0.0,1.0
110000,1.4160981,0.070308425,999.0,-1.5625,-1.5625,1.0
120000,1.4151942,0.058259934,999.0,-0.4,-0.4,1.0
130000,1.4155253,0.069410704,999.0,0.0,0.0,1.0
140000,1.416134,0.07892231,999.0,0.0,0.0,1.0
150000,1.4158926,0.07604098,999.0,0.0,0.0,1.0
160000,1.4152356,0.06220986,999.0,-0.16666666666666666,-0.16666666666666666,1.0
170000,1.4152175,0.07800885,999.0,-0.4444444444444444,-0.4444444444444444,1.0
180000,1.415165,0.04152666,999.0,-1.0,-1.0,1.0
190000,1.4151577,0.03676617,999.0,0.0,0.0,1.0
200000,1.415064,0.0436438,999.0,-0.9,-0.9,1.0
210000,1.415064,0.040277183,999.0,-0.8888888888888888,-0.8888888888888888,1.0
220000,1.4147743,0.039994787,999.0,0.0,0.0,1.0
230000,1.4147662,0.028229007,999.0,-1.1875,-1.1875,1.0
240000,1.4149296,0.02677246,999.0,-0.4666666666666667,-0.4666666666666667,1.0
250000,1.4149603,0.033536185,999.0,0.0,0.0,1.0
260000,1.4160548,0.03094225,999.0,0.0,0.0,1.0
270000,1.4163773,0.017522693,999.0,0.0,0.0,1.0
280000,1.416756,0.008967338,999.0,-0.7,-0.7,1.0
290000,1.4169306,0.013587262,999.0,-0.2222222222222222,-0.2222222222222222,1.0
300000,1.4167295,0.022828043,999.0,0.0,0.0,1.0
310000,1.4165732,0.0156375,999.0,0.0,0.0,1.0
320000,1.4162099,0.016129307,999.0,-0.4666666666666667,-0.4666666666666667,1.0
330000,1.4158083,0.024930406,999.0,0.0,0.0,1.0
340000,1.4158399,0.0051870374,999.0,0.0,0.0,1.0
350000,1.4158973,-0.01792357,999.0,-3.1875,-3.1875,1.0
360000,1.4162542,-0.0017965618,999.0,0.0,0.0,1.0
370000,1.4172541,0.020358652,999.0,0.0,0.0,1.0
380000,1.4172313,0.0020969065,999.0,0.0,0.0,1.0
390000,1.4170531,0.0086359745,999.0,0.0,0.0,1.0
400000,1.4170015,0.016360769,999.0,0.0,0.0,1.0
410000,1.4162146,0.011095587,999.0,0.0,0.0,1.0
420000,1.4162146,0.020156737,999.0,0.0,0.0,1.0
430000,1.4158055,0.0110144885,999.0,0.0,0.0,1.0
440000,1.4157925,0.009162895,999.0,0.0,0.0,1.0
450000,1.413858,0.007489315,999.0,0.0,0.0,1.0
460000,1.4135692,0.015806321,999.0,0.0,0.0,1.0
470000,1.4123939,0.014877808,999.0,0.0,0.0,1.0
480000,1.4120485,0.002948937,999.0,-0.2,-0.2,1.0
490000,1.4119065,0.010064548,999.0,0.0,0.0,1.0
500000,1.4118406,0.012869778,999.0,0.0,0.0,1.0
510000,1.4120107,0.01132752,999.0,0.0,0.0,1.0
520000,1.4121271,0.013171744,999.0,0.0,0.0,1.0
530000,1.4114244,0.012360053,999.0,0.0,0.0,1.0
540000,1.4106025,0.012896436,999.0,0.0,0.0,1.0
550000,1.4101442,0.011754134,999.0,0.0,0.0,1.0
560000,1.4094225,0.011702015,999.0,0.0,0.0,1.0
570000,1.4094069,0.009251222,999.0,0.0,0.0,1.0
